t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,heat_flux_s0,particle_flux_s0
8.549552917480468750e+01,5.161895230412483215e-02,-2.735466445070673380e-01,-4.576855644514212229e-01,1.170618447733207006e+02,1.457649062257211137e+00,0.000000000000000000e+00,1.185194938355779186e+02,5.719869723926530369e+00,0.000000000000000000e+00,5.719869723926530369e+00,0.000000000000000000e+00
8.804846954345703125e+01,5.103402584791183472e-02,1.574179816231735807e-01,2.261963958386658535e-01,1.195173279720916923e+02,1.487014572007680169e+00,0.000000000000000000e+00,1.210043425440993730e+02,5.716271975111620662e+00,0.000000000000000000e+00,5.716271975111620662e+00,0.000000000000000000e+00
9.063995361328125000e+01,5.184259638190269470e-02,2.361828820067870260e-01,1.705832374289432130e-01,1.205875443348721063e+02,1.505019031043000499e+00,0.000000000000000000e+00,1.220925633659151117e+02,5.618321058126081624e+00,0.000000000000000000e+00,5.618321058126081624e+00,0.000000000000000000e+00
9.318283081054687500e+01,5.051960051059722900e-02,-1.341909070119020990e-02,1.580392252134851516e-01,1.203833903118694195e+02,1.511810514179553699e+00,0.000000000000000000e+00,1.218952008260489777e+02,5.635712825995448760e+00,0.000000000000000000e+00,5.635712825995448760e+00,0.000000000000000000e+00
9.576239013671875000e+01,5.292165651917457581e-02,-5.451902430522041765e-02,-1.587383821757306496e-02,1.192714760115319876e+02,1.491868041661840394e+00,0.000000000000000000e+00,1.207633440531938334e+02,5.413433563642371382e+00,0.000000000000000000e+00,5.413433563642371382e+00,0.000000000000000000e+00
9.833348083496093750e+01,5.096779391169548035e-02,3.691574546610841209e-03,1.845429413451000755e-01,1.177055986525673603e+02,1.469762828771373542e+00,0.000000000000000000e+00,1.191753614813387401e+02,5.458232440992872192e+00,0.000000000000000000e+00,5.458232440992872192e+00,0.000000000000000000e+00
1.008966674804687500e+02,5.069318413734436035e-02,6.627571502307960660e-02,1.061662288643781121e-01,1.191454305179174611e+02,1.513150950590462562e+00,0.000000000000000000e+00,1.206585814685079185e+02,5.865221940108225063e+00,0.000000000000000000e+00,5.865221940108225063e+00,0.000000000000000000e+00
1.033976058959960938e+02,4.758275672793388367e-02,1.423622469537748625e-01,1.650088548358081830e-01,1.225326688776014521e+02,1.590394673391584579e+00,0.000000000000000000e+00,1.241230635509930380e+02,5.921402523808573903e+00,0.000000000000000000e+00,5.921402523808573903e+00,0.000000000000000000e+00
1.059754409790039062e+02,5.153553932905197144e-02,8.160675572878049733e-02,1.113837783473912851e-01,1.234855556990293763e+02,1.603413838195365537e+00,0.000000000000000000e+00,1.250889695372247417e+02,5.582431748329882204e+00,0.000000000000000000e+00,5.582431748329882204e+00,0.000000000000000000e+00
1.085474853515625000e+02,5.151275917887687683e-02,-6.146784069761589836e-02,8.524648032574197454e-02,1.217154190045289965e+02,1.519602226732636785e+00,0.000000000000000000e+00,1.232350212312616264e+02,5.590914241954577868e+00,0.000000000000000000e+00,5.590914241954577868e+00,0.000000000000000000e+00
1.111140975952148438e+02,5.042754858732223511e-02,8.176576131156131078e-02,-4.302612068932721440e-02,1.215696355674338349e+02,1.471873516955948702e+00,0.000000000000000000e+00,1.230415090843897872e+02,5.800956592046622617e+00,0.000000000000000000e+00,5.800956592046622617e+00,0.000000000000000000e+00
1.135473098754882812e+02,4.821006581187248230e-02,1.365706795483730140e-01,1.071262099547035801e-02,1.217955341357896515e+02,1.462823681350637006e+00,0.000000000000000000e+00,1.232583578171402934e+02,5.560426160021664010e+00,0.000000000000000000e+00,5.560426160021664010e+00,0.000000000000000000e+00
1.160706787109375000e+02,5.116038769483566284e-02,7.437275030771249400e-03,3.792391543950140997e-02,1.211757296000419331e+02,1.454375612898670678e+00,0.000000000000000000e+00,1.226301052129406060e+02,5.761308265734636613e+00,0.000000000000000000e+00,5.761308265734636613e+00,0.000000000000000000e+00
